arrival_times,severity_levels,start_times,departure_times,waiting_times
0.515382100302455,2,0.515382100302455,142.933612425345,0.0
1.5133175005759223,2,1.5133175005759223,56.69712267676526,0.0
4.395988069886483,1,4.395988069886483,110.05409867555686,0.0
5.31514735707259,2,5.31514735707259,40.10424835761249,0.0
5.890054071572688,2,5.890054071572688,71.59280667560377,0.0
7.345921915857993,2,7.345921915857993,100.44220632758953,0.0
7.96069204287181,2,7.96069204287181,126.98616576718116,0.0
8.03485239718917,1,8.03485239718917,28.02295841420079,0.0
10.444749897545929,2,10.444749897545929,30.937939617760684,0.0
10.542119969488144,2,10.542119969488144,168.99966241762004,0.0
10.612814709555106,2,10.612814709555106,67.82746060689414,0.0
11.118801500310578,3,11.118801500310578,324.48190608559025,0.0
11.253252955931451,2,11.253252955931451,39.420931421405655,0.0
11.406218364065122,1,11.406218364065122,58.6469575821191,0.0
11.859510767119191,1,11.859510767119191,66.61891263241279,0.0
12.250975211534703,2,12.250975211534703,21.191036656331086,0.0
14.382262786209909,1,14.382262786209909,43.92988208560038,0.0
14.742768424610821,2,14.742768424610821,38.99345533237533,0.0
15.05039054908479,3,15.05039054908479,38.620403707193745,0.0
15.44053207799248,2,15.44053207799248,788.442352392407,0.0
16.691749172545347,2,16.691749172545347,82.06559295580794,0.0
17.03000430339529,2,17.03000430339529,295.9218674167383,0.0
17.568315256679842,2,17.568315256679842,66.94163941797127,0.0
18.58602750885609,2,18.58602750885609,210.80177448027513,0.0
18.897829008841597,3,18.897829008841597,533.0016692269967,0.0
18.909635300089114,2,18.909635300089114,171.02466312050458,0.0
19.412102666174853,3,19.412102666174853,249.0404945224727,0.0
19.572986101208574,3,19.572986101208574,210.64579896314456,0.0
19.882689306526323,1,19.882689306526323,50.77380702921251,0.0
25.740729880994692,1,25.740729880994692,216.72476535289093,0.0
28.003184962165346,1,28.003184962165346,155.84689408437478,0.0
28.07797488442578,1,28.07797488442578,269.50667492235556,0.0
28.598783487130284,1,28.598783487130284,38.15523849932988,0.0
29.726122646132083,2,29.726122646132083,250.23475170749737,0.0
32.55081107376896,1,32.55081107376896,233.15197417257826,0.0
